ARGsubtype,ARGtype,Level
aac(3)-II,aminoglycosides,Rank I
aac(3)-VI,aminoglycosides,Rank I
aac(6')-I,aminoglycosides,Rank I
ant(2'')-I,aminoglycosides,Rank I
aph(3')-I,aminoglycosides,Rank I
aph(3')-III,aminoglycosides,Rank I
aph(6)-I,aminoglycosides,Rank I
rmtF,aminoglycosides,Rank I
rmtG,aminoglycosides,Rank I
aadA,aminoglycosides,Rank I
aphA(2'')-IV,aminoglycosides,Rank II
aphA(3')-VII,aminoglycosides,Rank II
blaZ,beta-lactams,Rank I
CMY-4,beta-lactams,Rank I
CMY-6,beta-lactams,Rank I
CMY-111,beta-lactams,Rank I
CTXM-2,beta-lactams,Rank I
CTXM-15,beta-lactams,Rank I
CTXM-24,beta-lactams,Rank I
CTXM-55,beta-lactams,Rank I
CTXM-129,beta-lactams,Rank I
GES-11,beta-lactams,Rank I
IMP-4,beta-lactams,Rank I
KPC-2,beta-lactams,Rank I
KPC-4,beta-lactams,Rank I
KPC-6,beta-lactams,Rank I
OXA-1,beta-lactams,Rank I
OXA-4,beta-lactams,Rank I
OXA-10,beta-lactams,Rank I
SHV-1,beta-lactams,Rank I
SHV-5,beta-lactams,Rank I
TEM-1,beta-lactams,Rank I
TEM-156,beta-lactams,Rank I
TEM-169,beta-lactams,Rank I
VEB-3,beta-lactams,Rank I
VIM-1,beta-lactams,Rank I
VIM-2,beta-lactams,Rank I
CMY-2,beta-lactams,Rank II
OXA-72,beta-lactams,Rank II
penA,beta-lactams,Rank II
ROB-1,beta-lactams,Rank II
SHV,beta-lactams,Rank II
catA,chloramphenicol,Rank I
catB,chloramphenicol,Rank I
catC,chloramphenicol,Rank I
cmlA,chloramphenicol,Rank I
floR,chloramphenicol,Rank I
mcr-1,colistin,Rank I
ermA,macrolide-lincosamide-streptogramin,Rank I
ermB,macrolide-lincosamide-streptogramin,Rank I
ermC,macrolide-lincosamide-streptogramin,Rank I
ermF,macrolide-lincosamide-streptogramin,Rank I
ermT,macrolide-lincosamide-streptogramin,Rank I
lnuA,macrolide-lincosamide-streptogramin,Rank I
lnuB,macrolide-lincosamide-streptogramin,Rank I
mphA,macrolide-lincosamide-streptogramin,Rank I
mphB,macrolide-lincosamide-streptogramin,Rank I
msrA,macrolide-lincosamide-streptogramin,Rank I
vatE,macrolide-lincosamide-streptogramin,Rank II
emrB,multidrug,Rank I
mdtE,multidrug,Rank I
mdtL,multidrug,Rank I
mepA,multidrug,Rank I
norA,multidrug,Rank I
tolC,multidrug,Rank I
emrD,multidrug,Rank II
mdtA,multidrug,Rank II
mdtG,multidrug,Rank II
mdtH,multidrug,Rank II
mdtM,multidrug,Rank II
qnrA,quinolone,Rank I
qnrB,quinolone,Rank I
qnrS,quinolone,Rank I
tetL,tetracycline,Rank I
tetM,tetracycline,Rank I
tetO,tetracycline,Rank II
tetM,tetracycline,Rank II
tetW,tetracycline,Rank II
dfrA1,trimethoprim,Rank I
dfrA5,trimethoprim,Rank I
dfrA12,trimethoprim,Rank I
dfrA14,trimethoprim,Rank I
dfrA15,trimethoprim,Rank I
dfrA17,trimethoprim,Rank I
dfrA25,trimethoprim,Rank I
dfrB1,trimethoprim,Rank I
vanY,vancomycin,Rank I
vanA,vancomycin,Rank IV
sul1,sulfonamide,Rank I
